id,fct_code,name_en,name_bn,name_banglish,category,calories_100g,protein_g_100g,fat_g_100g,carbs_g_100g,fiber_g_100g,portion_local,portion_grams,glycemic_class,condition_flags,verified,review_portion_ok,review_glycemic_ok,review_flags_ok,review_comment
bhat_boiled,01_0037,"Rice, BR-28, boiled (without salt)",ভাত,shaada bhat|shhada bhat|saada bhat|shada bhat|sada bhat|shada vat|sada vat|bhaaat|baath|bhaat|reece|riche|vaaat|bath|bhat|rice|ryce|vaat|vat,cereal,109,2.1,0.1,24.3,1.1,1 plate,250,high,diabetes_caution,yes,,,,
bhat_atop_boiled,01_0041,"Rice, white, sunned, polished, boiled",আতপ ভাত,poleeshed rice|polished riche|polishhed rice|polished rice|polyshed rice|polised rice|aatop bhat|aatop chal|atop chhal|atop bhat|atop chal|atop cal|atop vat,cereal,111,2.1,0.1,24.8,1.0,1 plate,250,high,diabetes_caution,yes,,,,
bhat_lal_boiled,01_0039,"Rice, brown, parboiled, milled, boiled",লাল চালের ভাত,brown reece|brown riche|brown rice|brown ryce|laal bhat|laal chal|lal chhal|red reece|red riche|lal bhat|lal chal|red rice|red ryce|lal cal|lal vat,cereal,112,2.5,0.8,23.2,1.2,1 plate,250,medium,,yes,,,,
bhat_sugondhi_boiled,01_0040,"Rice, white, sunned, aromatic, boiled",সুগন্ধি ভাত,aaromatic rice|aromateec rice|aromatich rice|shugondhi bhat|soogondhi bhat|sughondhi bhat|sugondhee bhat|sugondhi bhaat|aromatic rice|aromatyc rice|sugondhi bhat|sugondhy bhat|sugondhi vat|polaao chal|polao chhal|polao chal|polao cal,cereal,110,2.2,0.2,24.4,1.0,1 plate,250,high,diabetes_caution,yes,,,,
chal_br28_raw,01_0012,"Rice, BR-28, parboiled, milled, raw",চাল,raaw rice|raw reece|raw riche|raw rice|raw ryce|chaaal|chhaal|chaal|chhal|caal|chal|cal,cereal,344,6.5,0.4,76.8,3.4,1 cup,180,high,diabetes_caution,yes,,,,
ruti,01_0042,Ruti (wheat flatbread),রুটি,aatta ruti|atta rooti|atta rutee|aata ruti|ata rooti|ata rutee|atta ruti|atta ruty|ata ruti|ata ruty|chaapati|chapatee|chhapati|chapati|chapaty|capati|rootee|rooti|rooty|rotee|rutee|roti|roty|ruti|ruty,cereal,246,7.5,1.2,49.7,3.1,1 piece,40,medium,,yes,,,,
muri,01_0023,"Rice, puffed, salted",মুড়ি,pooffed rice|puffed reece|puffed riche|puffed rice|puffed ryce|mooree|moodi|moori|moory|mudee|muree|mudi|mudy|muri|mury,cereal,361,6.7,0.1,82.7,1.4,1 bowl,30,high,diabetes_caution,yes,,,,
khoi,01_0022,"Rice, popped",খই,popped reece|popped riche|popped rice|popped ryce|khhoi|khhoy|khoee|khoi|khoy|koi|koy,cereal,380,7.1,0.1,87.0,1.4,1 bowl,30,high,diabetes_caution,yes,,,,
chira,01_0010,"Rice, flaked",চিড়া,flaattened rice|flattened reece|flattened riche|flattened rice|flattened ryce|flaaked rice|flaked reece|flaked riche|flakhed rice|flaked rice|flaked ryce|cheeraa|cheerra|chheera|chhirra|chirraa|cheeda|cheera|chhida|chhira|chidaa|chiraa|chirra|chyrra|ceera|chida|chira|chyda|chyra|cirra|cida|cira,cereal,356,6.5,1.1,79.2,1.3,1 bowl,50,high,,yes,,,,
chira_veja,01_0011,"Rice flakes, water-soaked",ভেজা চিড়া,shoaked chira|soaaked chira|soaked cheera|soaked chhira|soakhed chira|bheeja chira|bhija chhira|bhijaa chira|soaked chira|soaked chyra|bheja chira|bhija chira|bhiza chira|bhyja chira|soaked cira|veja cheera|veja chhira|vejaa chira|bhija cira|veja chira|veja chyra|veza chira|vija chira|veja cira,cereal,105,2.0,0.3,23.0,0.9,1 bowl,150,medium,,yes,,,,
